video,contains_person,person_size,other_objects,background_type,occlusion,notes
Berghouse Leopard Jog.mp4,yes,medium,none,grass/shrub trail,vegetation (partial),"2 runners; easy case, good visibility"
Bluemlisalphutte Flyover.mp4,yes,very_small,birds (extremely small),snow mountain ridge,none,"extreme altitude; ant-sized figures; expected small-object failure case"
Creux du Van Flight.mp4,no,-,house,rocky forested ridge,-,"genuinely person-free; background/hard-negative source"
DJI_0501.MP4,yes,mixed (statue large / real people very_small),statue,grassy hilltop with monument,none,"human statue is a false-positive trap; real tiny people nearby; short clip (8.2s); ambiguous/qualitative case"
DJI_0574.MP4,yes,medium,bicycles; houses,vineyard / lake shoreline,bicycle (occlusion),"cyclists; bicycle occludes person-defining features"
DJI_0596.MP4,yes,very_small,house; ship; boat,open water / ship deck,none,"tiny people on ship deck; candidate for SAHI small-object discussion"
DJI_0790.MOV,yes,medium,sled; sled dogs; houses,snow field / village,none,"a musher plus a crowd at the end; good volume"
DJI_0862.MOV,yes,medium-large,another drone (in-frame aircraft); crashed plane/helicopter wreckage,dark volcanic terrain / helicopter wreck,none,"good size despite low-contrast terrain; headline achievable test case"
DJI_0876.MOV,yes,medium,house,glacial lagoon / house,none,"single brief appearance near the start; low volume"
Isles of Glencoe.mp4,no,-,house; car; boat,loch / village / moored boats,-,"genuinely person-free; background/hard-negative source"
Stockflue Flyaround.mp4,yes,medium,flag on a pole; houses,rocky summit,vegetation (bushes),"intermittently occluded by bushes"
Surenen Pass Trail Running.mp4,yes,medium,none,grass trail,none,"2 power-walkers; easy case, good visibility"
VerticalFlyOver.mp4,yes,medium,none,grass ridge trail,none,"2 hikers; easy case, good visibility"
